ve,rem,time,vac,avgi
80,3411,4170,8333,72.51267991359951
81,1885,4980,8333,62.65483560738286
82,4011,3990,8333,76.60945402639165
83,1598,4350,8333,69.89799475017183
84,4430,4110,8333,77.00749822701415
85,0,650,64,0.6436957043436481
86,2,890,160,1.6224626829853395
87,2647,4400,8333,74.03773139427953
88,4460,4070,8333,79.9159255061117
89,4565,3960,8333,81.83244329924926
90,1,740,94,0.9990141588672821
91,2976,4170,8333,79.56435796975381
92,3560,4170,8333,80.74602807966517
93,4013,4170,8333,81.63408902279
94,3210,3990,8333,83.64153774033295
95,904,4070,8333,82.36587265417828
96,0,650,64,0.7281689464842767
97,1,730,90,1.0318252939764738
98,2226,4350,8333,82.62906281736524
99,1,660,67,0.7864384449244012
100,4611,3980,8333,87.8903992800482
